交易明細,__EMPTY,__EMPTY_1,__EMPTY_2,__EMPTY_3,__EMPTY_4,__EMPTY_5,__EMPTY_6,__EMPTY_7,__EMPTY_8,__EMPTY_9,__EMPTY_10,__EMPTY_11,__EMPTY_12,__EMPTY_13,__EMPTY_14
交易編號,委託單編號,類型,訊號,日期,時間,價格,數量,獲利(¤),獲利(%),累積獲利 (¤),累積獲利 (%),最大可能獲利(¤),最大可能獲利 (%),最大可能虧損 (¤),最大可能虧損 (%)
78,155,進入Long,BreakOut_LE,44127,0.7083333333333334,11674.75,1,-121.5,-0.5203537548983919,1400.5,1.4005,28.5,0.12205828818604252,-116.5,-0.49894002012891064
,156,離開Long,Breakout_LX,44127,0.9166666666666666,11619,1,,,,,,,,
79,157,進入Long,BreakOut_LE,44128,0.20833333333333334,11679.25,1,-164,-0.7020998779887407,1236.5,1.2365,0,0,-214.5,-0.9182952672474688
,158,離開Long,Breakout_LX,44130,0.625,11602.25,1,,,,,,,,
80,159,進入Long,BreakOut_LE,44131,0.875,11562,1,-130.5,-0.5643487285936689,1106,1.106,2.5,0.010811278325549213,-125.5,-0.5427261719425704
,160,離開Long,Breakout_LX,44131,0.9166666666666666,11501.75,1,,,,,,,,
81,161,進入Long,BreakOut_LE,44134,0.9166666666666666,11257.75,1,-345.5,-1.5344984566187738,760.5,0.7605,39,0.17321400812773424,-340.5,-1.5122915324998334
,162,離開Long,Breakout_LX,44134,0.9583333333333334,11090,1,,,,,,,,
82,163,進入Long,BreakOut_LE,44138,0.4583333333333333,11119,1,1710,7.689540426297328,2470.5,2.4705,1992.5,8.959888479179783,-110,-0.4946487993524598
,164,離開Long,Breakout_LX,44140,0.9583333333333334,11979,1,,,,,,,,
83,165,進入Long,BreakOut_LE,44144,0.375,12257,1,55,0.22436158929591254,2525.5,2.5255,296.5,1.2095129313861468,-5,-0.02039650811781023
,166,離開Long,Breakout_LX,44144,0.6666666666666666,12289.5,1,,,,,,,,
84,167,進入Long,BreakOut_LE,44147,0.7916666666666666,11945,1,-150.5,-0.629970699037254,2375,2.375,53.5,0.2239430724152365,-145.5,-0.6090414399330264
,168,離開Long,Breakout_LX,44148,0.041666666666666664,11874.75,1,,,,,,,,
85,169,進入Long,BreakOut_LE,44151,0.3333333333333333,11967.25,1,81.5,0.3405126491048487,2456.5,2.4565,191,0.7980112390064551,-10,-0.04178069314169922
,170,離開Long,Breakout_LX,44151,0.6666666666666666,12013,1,,,,,,,,
86,171,進入Long,BreakOut_LE,44155,0.16666666666666666,11966.75,1,-17.5,-0.07311926797167151,2439,2.439,101.5,0.4240917542356947,-90,-0.3760419495685963
,172,離開Long,Breakout_LX,44155,0.9583333333333334,11963,1,,,,,,,,
87,173,進入Long,BreakOut_LE,44160,0.08333333333333333,12036,1,126,0.5234297108673979,2565,2.565,268.5,1.1154037886340977,-10,-0.04154204054503157
,174,離開Long,Breakout_LX,44160,0.625,12104,1,,,,,,,,
88,175,進入Long,BreakOut_LE,44161,0.4583333333333333,12199.5,1,-39.5,-0.1618918808147875,2525.5,2.5255,22,0.0901676298208943,-34.5,-0.14139923767367515
,176,離開Long,Breakout_LX,44161,0.7083333333333334,12184.75,1,,,,,,,,
89,177,進入Long,BreakOut_LE,44162,0.9583333333333334,12240,1,17.5,0.07148692810457516,2543,2.543,186.5,0.7618464052287581,-19.5,-0.07965686274509803
,178,離開Long,Breakout_LX,44165,0.5416666666666666,12253.75,1,,,,,,,,
90,179,進入Long,BreakOut_LE,44167,0.08333333333333333,12451.5,1,-72.5,-0.291129582781191,2470.5,2.4705,114,0.4577761715455969,-67.5,-0.2710516805204192
,180,離開Long,Breakout_LX,44167,0.4166666666666667,12420.25,1,,,,,,,,
91,181,進入Long,BreakOut_LE,44169,0,12502.5,1,-90.5,-0.3619276144771046,2380,2.3800000000000003,70.5,0.2819436112777444,-85.5,-0.34193161367726455
,182,離開Long,Breakout_LX,44169,0.041666666666666664,12462.25,1,,,,,,,,
92,183,進入Long,BreakOut_LE,44169,0.08333333333333333,12513.75,1,-137.5,-0.5493956647687543,2242.5,2.2425,6,0.0239736290080911,-132.5,-0.5294176405953451
,184,離開Long,Breakout_LX,44169,0.20833333333333334,12450,1,,,,,,,,
93,185,進入Long,BreakOut_LE,44173,0,12588.25,1,-66.5,-0.26413520544952634,2176,2.176,42,0.1668222350207535,-87,-0.34556034397156077
,186,離開Long,Breakout_LX,44173,0.8333333333333334,12560,1,,,,,,,,
94,187,進入Long,BreakOut_LE,44176,0,12383.75,1,-54.5,-0.22004643181588773,2121.5,2.1215,125,0.504693650953871,-67.5,-0.27253457151509036
,188,離開Long,Breakout_LX,44176,0.5,12361.5,1,,,,,,,,
95,189,進入Long,BreakOut_LE,44180,0,12520,1,-146.5,-0.5850638977635783,1975,1.975,53.5,0.21365814696485624,-141.5,-0.5650958466453675
,190,離開Long,Breakout_LX,44180,0.4583333333333333,12451.75,1,,,,,,,,
96,191,進入Long,BreakOut_LE,44181,0.125,12539,1,24,0.09570141159582105,1999,1.999,34.5,0.13757077916899274,-5,-0.01993779408246272
,192,離開Long,NQ_Settlement_LX,44181,0.16666666666666666,12556,1,,,,,,,,
97,193,進入Long,BreakOut_LE,44182,0.5833333333333334,12710.5,1,17.5,0.06884072223752016,2016.5,2.0164999999999997,98.5,0.3874749223083278,-10,-0.03933755556429724
,194,離開Long,Breakout_LX,44183,0,12724.25,1,,,,,,,,
98,195,進入Long,BreakOut_LE,44193,0.5,12774.25,1,-23.5,-0.09198191674658003,1993,1.9929999999999999,41.5,0.16243615085034346,-18.5,-0.0724112961622013
,196,離開Long,Breakout_LX,44193,0.75,12767.5,1,,,,,,,,
99,197,進入Long,BreakOut_LE,44200,0.7083333333333334,12934.5,1,-34.5,-0.13336425837875449,1958.5,1.9585000000000001,45.5,0.17588619583285012,-29.5,-0.1140361049905292
,198,離開Long,Breakout_LX,44200,0.9583333333333334,12922.25,1,,,,,,,,
100,199,進入Long,BreakOut_LE,44202,0,12768.25,1,-100.5,-0.39355432420261194,1858,1.8579999999999999,147.5,0.5776046051729876,-163.5,-0.6402600199714135
,200,離開Long,Breakout_LX,44202,0.4166666666666667,12723,1,,,,,,,,
101,201,進入Long,BreakOut_LE,44204,0.9583333333333334,13014.25,1,-128.5,-0.4936896094665463,1729.5,1.7295,97,0.37266842115373533,-123.5,-0.4744798970359414
,202,離開Long,Breakout_LX,44205,0.125,12955,1,,,,,,,,
102,203,進入Long,BreakOut_LE,44216,0.125,12957.5,1,765,2.951958325294231,2494.5,2.4945,864.5,3.335905846035115,-5,-0.019293845263360986
,204,離開Long,Breakout_LX,44217,0.7083333333333334,13345,1,,,,,,,,
103,205,進入Long,BreakOut_LE,44218,0.20833333333333334,13406,1,-98,-0.36550798150082053,2396.5,2.3965,28.5,0.1062956884976876,-93,-0.34685961509771746
,206,離開Long,Breakout_LX,44218,0.4583333333333333,13362,1,,,,,,,,
104,207,進入Long,BreakOut_LE,44222,0.9583333333333334,13479.75,1,102,0.3783452957213598,2498.5,2.4985,235,0.8716778872011721,-108.5,-0.40245553515458377
,208,離開Long,Breakout_LX,44223,0.7083333333333334,13535.75,1,,,,,,,,
